state,constituency,name,name_title,party,photo_url
Odisha,Sambalpur,Dharmendra Pradhan,Dharmendra Pradhan,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Dharmendra_Pradhan%2C_Minister_of_Education.jpg/500px-Dharmendra_Pradhan%2C_Minister_of_Education.jpg
Odisha,Keonjhar,Ananta Nayak,Ananta Nayak,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/e/e2/Ananta_Nayak_MP_2024.jpg
Odisha,Mayurbhanj,Naba Charan Majhi,Naba Charan Majhi,Bharatiya Janata Party,
Odisha,Balasore,Pratap Chandra Sarangi,Pratap Chandra Sarangi,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Pratap_Chandra_Sarangi.jpg/500px-Pratap_Chandra_Sarangi.jpg
Odisha,Bhadrak,Avimanyu Sethi,Avimanyu Sethi,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/b/bc/Avimanyu_Sethi_MP_2024.jpg
Odisha,Jajpur,Rabindra Narayan Behera,Rabindra Narayan Behera,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/a/a5/Rabindra_Narayan_Behera_MP_2024.jpg
Odisha,Dhenkanal,Rudra Narayan Pany,Rudra Narayan Pany,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/d/df/Rudra_Narayan_Pany_MP_2024.jpg
Odisha,Bolangir,Sangeeta Kumari Singh Deo,Sangeeta Kumari Singh Deo,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/6/6f/Sangeeta_Singh_Deo%2C_Member_of_Lok_Sabha_from_Bolangir%2C_Odisha.jpg
Odisha,Kalahandi,Malvika Devi,Malvika Devi,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Malvika_Devi_meeting_with_the_President_of_India%2C_Droupadi_Murmu_%282024%29_%28cropped%29.jpg/500px-Malvika_Devi_meeting_with_the_President_of_India%2C_Droupadi_Murmu_%282024%29_%28cropped%29.jpg
Odisha,Nabarangpur,Balabhadra Majhi,Balabhadra Majhi,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/e/e8/Balabhadra_Majhi_MP_2024.jpg
Odisha,Kandhamal,Sukanta Kumar Panigrahi,Sukanta Kumar Panigrahi,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/0/0c/Sukanta_Kumar_Panigrahi_MP_2024.jpg
Odisha,Cuttack,Bhartruhari Mahtab,Bhartruhari Mahtab,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/2/2f/Bhartruhari_Mahtab_MP_2024.jpg
Odisha,Kendrapara,Baijayant Panda,Baijayant Panda,Bharatiya Janata Party,
Odisha,Jagatsinghpur,Bibhu Prasad Tarai,Bibhu Prasad Tarai,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/6/6d/Bibhu_Prasad_Tarai_MP_2024.jpg
Odisha,Puri,Sambit Patra,Sambit Patra,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/a/ad/Sambit_Patra_MP_2024.jpg
Odisha,Bhubaneswar,Aparajita Sarangi,Aparajita Sarangi,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Aparajita_Sarangi%2C_MP_%28Lok_Sabha%29_meeting_with_the_President_of_India%2C_Smt._Droupadi_Murmu_at_Rashtrapati_Bhavan_%28cropped%29.jpg/500px-Aparajita_Sarangi%2C_MP_%28Lok_Sabha%29_meeting_with_the_President_of_India%2C_Smt._Droupadi_Murmu_at_Rashtrapati_Bhavan_%28cropped%29.jpg
Odisha,Aska,Anita Subhadarshini,Anita Subhadarshini,Bharatiya Janata Party,
Odisha,Berhampur,Pradeep Kumar Panigrahy,Pradeep Kumar Panigrahy,Bharatiya Janata Party,
Odisha,Koraput,Saptagiri Sankar Ulaka,Saptagiri Sankar Ulaka,Indian National Congress,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Saptagiri_Ulaka_2025_Koraput.png/500px-Saptagiri_Ulaka_2025_Koraput.png
Puducherry,Puducherry,V. Vaithilingam,V. Vaithilingam,Indian National Congress,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Vaithilingam.jpg/500px-Vaithilingam.jpg
Punjab,Gurdaspur,Sukhjinder Singh Randhawa,Sukhjinder Singh Randhawa,Indian National Congress,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Sukhjinder_Singh_Randhawa.jpg/500px-Sukhjinder_Singh_Randhawa.jpg
Punjab,Amritsar,Gurjeet Singh Aujla,Gurjeet Singh Aujla,Indian National Congress,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Gurjeet_Singh_Aujla_-_Kolkata_2017-07-10_3378.JPG/500px-Gurjeet_Singh_Aujla_-_Kolkata_2017-07-10_3378.JPG
Punjab,Khadoor Sahib,Amritpal Singh,Amritpal Singh,Akali Dal (Waris Punjab De),https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Amritpal_Singh_Jallupur.jpg/500px-Amritpal_Singh_Jallupur.jpg
Punjab,Jalandhar,Charanjit Singh Channi,Charanjit Singh Channi,Indian National Congress,https://upload.wikimedia.org/wikipedia/commons/0/0c/Channi.jpg
Punjab,Hoshiarpur,Raj Kumar Chabbewal,Raj Kumar Chabbewal,Aam Aadmi Party,
Punjab,Anandpur Sahib,Malwinder Singh Kang,Malwinder Singh Kang,Aam Aadmi Party,
Punjab,Ludhiana,Amrinder Singh Raja Warring,Amrinder Singh Raja Warring,Indian National Congress,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Amrinder_Singh_Raja_Warring.jpg/500px-Amrinder_Singh_Raja_Warring.jpg
Punjab,Fatehgarh Sahib,Amar Singh,Amar Singh (Punjab politician),Indian National Congress,
Punjab,Faridkot,Sarabjeet Singh Khalsa,Sarabjeet Singh Khalsa,Akali Dal (Waris Punjab De),
Punjab,Firozpur,Sher Singh Ghubaya,Sher Singh Ghubaya,Indian National Congress,
Punjab,Bathinda,Harsimrat Kaur Badal,Harsimrat Kaur Badal,Shiromani Akali Dal,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Harsimrat_Kaur_Badal.jpg/500px-Harsimrat_Kaur_Badal.jpg
Punjab,Sangrur,Gurmeet Singh Meet Hayer,Gurmeet Singh Meet Hayer,Aam Aadmi Party,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Meet_Hayer_L1.jpg/500px-Meet_Hayer_L1.jpg
Punjab,Patiala,Dharamvir Gandhi,Dharamvir Gandhi,Indian National Congress,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Dharamvir_Gandhi.png/500px-Dharamvir_Gandhi.png
Rajasthan,Ganganagar,Kuldeep Indora,Kuldeep Indora,Indian National Congress,
Rajasthan,Bikaner,Arjun Ram Meghwal,Arjun Ram Meghwal,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Shri_Arjun_Ram_Meghwal.jpg/500px-Shri_Arjun_Ram_Meghwal.jpg
Rajasthan,Churu,Rahul Kaswan,Rahul Kaswan,Indian National Congress,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Rahul_Kaswan_MP_Loksabha_from_Churu.jpg/500px-Rahul_Kaswan_MP_Loksabha_from_Churu.jpg
Rajasthan,Jhunjhunu,Brijendra Singh Ola,Brijendra Singh Ola,Indian National Congress,
Rajasthan,Sikar,Amra Ram,Amra Ram,Communist Party of India (Marxist),https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Amra_Ram.jpg/500px-Amra_Ram.jpg
Rajasthan,Jaipur Rural,Rao Rajendra Singh,Rao Rajendra Singh,Bharatiya Janata Party,
Rajasthan,Jaipur,Manju Sharma,Manju Sharma (politician),Bharatiya Janata Party,
Rajasthan,Alwar,Bhupender Yadav,Bhupender Yadav,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Union_Minister_Bhupender_Yadav.jpg/500px-Union_Minister_Bhupender_Yadav.jpg
Rajasthan,Bharatpur,Sanjana Jatav,Sanjana Jatav,Indian National Congress,
Rajasthan,Karauli–Dholpur,Bhajan Lal Jatav,Bhajan Lal Jatav,Indian National Congress,https://upload.wikimedia.org/wikipedia/commons/c/ca/Bhajanlal_Jatav.jpg
Rajasthan,Dausa,Murari Lal Meena,Murari Lal Meena,Indian National Congress,
